,날짜,요일,홈,방문,구장,관중수
1412,2018/10/04,목,SK,KIA,문학,13556
1413,2018/10/04,목,한화,롯데,대전,9555
1414,2018/10/06,토,롯데,한화,사직,9449
1415,2018/10/06,토,SK,KIA,문학,9241
1416,2018/10/06,토,SK,KIA,문학,22002
1417,2018/10/06,토,두산,LG,잠실,19891
1418,2018/10/06,토,KT,삼성,수원,8291
1419,2018/10/06,토,NC,넥센,마산,5297
1420,2018/10/07,일,두산,KIA,잠실,25000
1421,2018/10/07,일,NC,롯데,마산,11000
1422,2018/10/09,화,KT,한화,수원,20512
1423,2018/10/09,화,롯데,KIA,사직,25000
1424,2018/10/09,화,SK,삼성,문학,22031
1425,2018/10/10,수,KIA,한화,광주,6133
1426,2018/10/10,수,롯데,KT,사직,4793
1427,2018/10/10,수,롯데,KT,사직,11528
1428,2018/10/10,수,두산,SK,잠실,11126
1429,2018/10/11,목,KIA,롯데,광주,7745
1430,2018/10/11,목,두산,SK,잠실,10987
1431,2018/10/12,금,KIA,롯데,광주,12318
1432,2018/10/12,금,두산,NC,잠실,10914
1433,2018/10/12,금,KT,넥센,수원,10268
1434,2018/10/13,토,두산,KT,잠실,18528
1435,2018/10/13,토,SK,LG,문학,22399
1436,2018/10/13,토,KIA,롯데,광주,15640
1437,2018/10/13,토,한화,NC,대전,13000
1438,2018/10/13,토,삼성,넥센,대구,24000
1439,2018/10/14,일,롯데,두산,사직,6414
